# FC27 club | manager | nationality | age | preferred formation | tactical vision
Schalke 04|Miron Muslić|Austria|43|3-4-3|Gegenpress
Eintracht Frankfurt|Adi Hütter|Austria|56|3-4-2-1|Gegenpress
Werder Bremen|Daniel Thioune|Germany|52|4-2-3-1 Wide|Balanced
SV Elversberg|Vincent Wagner|Germany|40|4-3-3 Attack|Possession
Hamburger SV|Merlin Polzin|Germany|35|3-4-3|Balanced
SC Paderborn 07|Ralf Kettemann|Germany|40|4-2-3-1 Wide|Gegenpress
1. FC Köln|René Wagner|Germany|37|4-4-2|Balanced
1. FC Union Berlin|Mauro Lustrinelli|Switzerland|50|3-5-2|Counter-Attack
Bayer 04 Leverkusen|Carles Martínez Novell|Spain|42|3-4-2-1|Possession
AC Milan|Rúben Amorim|Portugal|41|3-4-3|Possession
Inter Milan|Cristian Chivu|Romania|45|3-5-2|Balanced
Juventus FC|Luciano Spalletti|Italy|67|3-4-2-1|Possession
SSC Napoli|Massimiliano Allegri|Italy|59|3-5-2|Park the Bus
AS Roma|Gian Piero Gasperini|Italy|68|3-4-2-1|Gegenpress
Atalanta BC|Maurizio Sarri|Italy|67|4-3-3 Holding|Possession
Bologna FC|Domenico Tedesco|Germany|40|4-2-3-1 Wide|Balanced
Fiorentina|Fabio Grosso|Italy|48|4-3-3 Holding|Balanced
Monza|Ivan Jurić|Croatia|50|3-4-2-1|Gegenpress
Como|Cesc Fàbregas|Spain|39|4-2-3-1 Narrow|Possession
Udinese Calcio|Kosta Runjaić|Germany|55|3-5-2|Balanced
Venezia FC|Giovanni Stroppa|Italy|58|3-5-2|Possession
Cagliari|Fabio Pisacane|Italy|40|3-5-2|Counter-Attack
Genoa|Eusebio Di Francesco|Italy|56|4-3-3 Attack|Balanced
Paris Saint-Germain|Luis Enrique|Spain|56|4-3-3 Attack|Possession
Angers SCO|Stéphane Gilli|France|56|4-4-2|Counter-Attack
AJ Auxerre|Will Still|Belgium|34|3-4-3|Balanced
Stade Brestois 29|Julien Lachuer|France|49|4-3-3 Holding|Balanced
Le Havre AC|Didier Digard|France|39|3-5-2|Counter-Attack
Le Mans FC|Patrick Videira|Portugal|52|4-4-2|Balanced
RC Lens|Dino Toppmöller|Germany|45|3-4-2-1|Gegenpress
Lille OSC|Davide Ancelotti|Italy|37|4-2-3-1 Wide|Possession
FC Lorient|Alexandre Dujeux|France|49|3-4-3|Balanced
Olympique Lyonnais|Paulo Fonseca|Portugal|53|4-2-3-1 Wide|Possession
Olympique de Marseille|Bruno Génésio|France|60|4-2-3-1 Wide|Balanced
AS Monaco|Filipe Luís|Brazil|41|4-3-3 Attack|Possession
OGC Nice|Olivier Pantaloni|France|59|4-4-2|Counter-Attack
Paris FC|Liam Rosenior|England|42|3-4-3|Possession
Stade Rennais|Franck Haise|France|55|3-4-3|Balanced
RC Strasbourg Alsace|Hugo Oliveira|Portugal|46|3-4-2-1|Possession
Toulouse FC|Jens Berthel Askou|Denmark|44|3-4-3|Gegenpress
ESTAC Troyes|Stéphane Dumont|France|44|4-3-3 Holding|Balanced
PSV|Peter Bosz|Netherlands|62|4-3-3 Attack|Gegenpress
Feyenoord|Robin van Persie|Netherlands|43|4-3-3 Attack|Possession
FC Porto|Francesco Farioli|Italy|37|4-3-3 Holding|Possession
Sporting CP|Rui Borges|Portugal|45|3-4-3|Balanced
Sporting Clube de Braga|Carlos Vicens|Spain|42|4-3-3 Attack|Possession
Rangers FC|Danny Röhl|Germany|37|4-2-3-1 Wide|Gegenpress
Galatasaray SK|Okan Buruk|Türkiye|53|4-2-3-1 Wide|Balanced
Inter Miami|Javier Mascherano|Argentina|42|4-3-3 Attack|Possession
Al Hilal|Simone Inzaghi|Italy|50|3-5-2|Balanced
Al Nassr|Jorge Jesus|Portugal|72|4-4-2|Direct
Boca Juniors|Claudio Úbeda|Argentina|57|4-4-2|Balanced
